channel,date,is_release,hour,messages
#ubuntu,2013-03-07,False,12,189
#ubuntu,2013-03-07,False,13,154
#ubuntu,2013-03-07,False,14,216
#ubuntu,2013-03-07,False,15,139
#ubuntu,2013-03-07,False,16,177
#ubuntu,2013-03-07,False,17,178
#ubuntu,2013-03-07,False,18,246
#ubuntu,2013-03-07,False,19,264
#ubuntu,2013-03-07,False,20,119
#ubuntu,2013-03-07,False,21,259
#ubuntu,2013-03-07,False,22,150
#ubuntu,2013-03-07,False,23,137
#ubuntu,2013-03-14,False,0,69
#ubuntu,2013-03-14,False,1,114
#ubuntu,2013-03-14,False,2,80
#ubuntu,2013-03-14,False,3,151
#ubuntu,2013-03-14,False,4,36
#ubuntu,2013-03-14,False,5,157
#ubuntu,2013-03-14,False,6,145
#ubuntu,2013-03-14,False,7,117
#ubuntu,2013-03-14,False,8,123
#ubuntu,2013-03-14,False,9,214
#ubuntu,2013-03-14,False,10,83
#ubuntu,2013-03-14,False,11,144
#ubuntu,2013-03-14,False,12,107
#ubuntu,2013-03-14,False,13,91
#ubuntu,2013-03-14,False,14,121
#ubuntu,2013-03-14,False,15,81
#ubuntu,2013-03-14,False,16,184
#ubuntu,2013-03-14,False,17,160
#ubuntu,2013-03-14,False,18,189
#ubuntu,2013-03-14,False,19,160
#ubuntu,2013-03-14,False,20,182
#ubuntu,2013-03-14,False,21,148
#ubuntu,2013-03-14,False,22,142
#ubuntu,2013-03-14,False,23,236
#ubuntu,2013-03-21,False,0,107
#ubuntu,2013-03-21,False,1,223
#ubuntu,2013-03-21,False,2,203
#ubuntu,2013-03-21,False,3,123
#ubuntu,2013-03-21,False,4,149
#ubuntu,2013-03-21,False,5,37
#ubuntu,2013-03-21,False,6,97
#ubuntu,2013-03-21,False,7,201
#ubuntu,2013-03-21,False,8,214
#ubuntu,2013-03-21,False,9,124
#ubuntu,2013-03-21,False,10,147
#ubuntu,2013-03-21,False,11,102
#ubuntu,2013-03-21,False,12,102
#ubuntu,2013-03-21,False,13,147
#ubuntu,2013-03-21,False,14,186
#ubuntu,2013-03-21,False,15,210
#ubuntu,2013-03-21,False,16,149
#ubuntu,2013-03-21,False,17,176
#ubuntu,2013-03-21,False,18,195
#ubuntu,2013-03-21,False,19,145
#ubuntu,2013-03-21,False,20,95
#ubuntu,2013-03-21,False,21,138
